pica_p	pica_p_uf	marc21
092B	$k	561 $a
092B	$C	561 $u
092B	$6	561 $u
045Y	$a	935 $sDE-84
039D	$7	776 $w(DE-600)
006V	$0	024 $a $2vd16
006W	$0	024 $a $2vd17
006M	$0	024 $a $2vd18
007S	$T	880 $6
007S	$U	880 $6
007S	$S	935 $f
007S	$0	510 $a935 $e
007S	$p	935 $g
046E	$T	880 $6
046E	$U	880 $6
046E	$a	500 $a
029E	$T	880 $6
029E	$U	880 $6
029E	$a	710 $a711 $a
029E	$b	710 $b711 $e
029E	$n	711 $n
029E	$d	711 $d
029E	$c	711 $c
029E	$g	710 $g711 $g
029E	$9	710 $0(DE-627)711 $0(DE-627)
029E	$7	710 $0(DE-588)711 $0(DE-588)
029E	$B	710 $e711 $j
022S	$a	243 $a
022S	$r	243 $a
025@	$T	880 $6
025@	$U	880 $6
025@	$a	246 $i $a
033B/01	$T	880 $6
033B/01	$U	880 $6
033B/05	$T	880 $6
033B/05	$U	880 $6
033B/05	$p	264 $a
033B/05	$n	264 $b
033B/05	$h	264 $c
033J	$T	880 $6
033J	$U	880 $6
033J	$P	700 $a
033J	$a	700 $a710 $a
033J	$d	700 $a
033J	$c	700 $a
033J	$n	700 $b710 $n
033J	$l	700 $c
033J	$g	700 $g710 $g
033J	$u	700 $a710 $a
033J	$9	700 $0(DE-627)710 $0(DE-627)
033J	$7	700 $0(DE-588)710 $0(DE-588)
046M	$T	880 $6
046M	$U	880 $6
046M	$a	501 $a505 $t
046M	$d	501 $a505 $t
046M	$f	501 $a505 $t
046M	$h	501 $a505 $r
046M	$r	501 $a
046M	$u	501 $a505 $a
046M	$g	501 $a505 $g
046M	$l	501 $a505 $g
046M	$p	501 $a505 $g
044A	$A	600/610/611/630/647/648/651/655 $A
044C	$A	600/610/611/630/647/648/651/655 $A
044K/00	$T	880 $6
044K/00	$U	880 $6
044K/00	$9	689 $0(DE-627)
044K/00	$7	689 $0(DE-588)
044K/00	$a	689 $t
044K/00	$z	689 $a
044K/00	$g	689 $a $g
044K/00	$A	689 $5
041A/00	$9	689 $0(DE-627)
041A/00	$7	689 $0(DE-588)
041A/00	$a	689 $t
041A/00	$z	689 $a
041A/00	$g	689 $a
017H	$u	856 $u
017H	$m	856 $m
017H	$n	856 $n
017H	$q	856 $q
017H	$t	856 $t
017H	$v	856 $v
017H	$x	856 $x
017H	$y	856 $y
017H	$z	856 $z
017H	$3	856 $3
017H	$4	856 $z
026C	$T	880 $6
026C	$U	880 $6
026C	$a	210 $a $2din1502
031C	$a	505 $a
031C	$y	505 $a
041A/00	$A	689 $5
036E/00	$T	880 $6
036E/00	$U	880 $6
036E/00	$a	245 $a490 $a
036E/00	$h	245 $c490 $a
036E/00	$l	245 $n490 $v
036E/00	$p	245 $p490 $a
036E/00	$h	245 $p490 $a
036E/00	$m	245 $n490 $v
036F/00	$T	880 $6
036F/00	$U	880 $6
036F/00	$X	773 $q800/810/811/830 $9
036F/00	$9	773 $w(DE-627)800/810/811/830 $w(DE-627)
036F/00	$7	773 $w(DE-600)800/810/811/830 $w(DE-600)
036F/00	$l	245 $n773 $g800/810/811/830 $v
036C/00	$T	880 $6
036C/00	$U	880 $6
036C/00	$a	245 $a490 $a
036C/00	$e	245 $a $b490 $a
036C/00	$d	245 $b490 $a
036C/00	$f	245 $b490 $a
036C/00	$h	245 $c490 $a
036C/00	$l	245 $n490 $v
036C/01	$T	880 $6
036C/01	$U	880 $6
036C/01	$m	245 $n490 $a800/810/811/830 $n
036C/01	$a	245 $p246 $a490 $a800/810/811/830 $p
036C/01	$e	245 $p490 $a
036C/01	$d	245 $p490 $a
036C/01	$f	245 $p490 $a
036C/01	$h	245 $p490 $a
036C/01	$l	245 $n490 $v800/810/811/830 $p
036D	$T	880 $6
036D	$U	880 $6
036D	$X	773 $q800/810/811/830 $9
036D	$9	773 $w(DE-627)800/810/811/830 $w(DE-627)
036D	$7	800/810/811/830 $w(DE-101
036D	$l	773 $g800/810/811/830 $v
045D/00	$9	650 $0(DE-627)
045D/00	$7	650 $0(DE-STW)
045D/00	$a	650 $a
017M	$b	540 $q
017M	$a	540 $a
017M	$c	540 $f
017M	$g	540 $2
017M	$z	540 $z
044L/00	$T	880 $6
044L/00	$U	880 $6
044L/00	$9	600/610/611/630/648/650/651 $0(DE-627)
044L/00	$7	600/610/611/630/648/650/651 $0(DE-588)
044L/00	$a	600/610/611/630/648/650/651 $a $2gnd
044L/00	$g	600/610/611/630/648/650 $g651 $a
011B	$a	533 $d $7
011B	$b	533 $d $7
011B	$n	533 $d
032C	$T	880 $6
032C	$U	880 $6
032C	$a	533 $a
033N	$T	880 $6
033N	$U	880 $6
033N	$p	533 $b
033N	$n	533 $c
033O	$T	880 $6
033O	$U	880 $6
033O	$p	533 $b
033O	$n	533 $c
009A	$c	535 $a775 $n776 $n
009A	$d	535 $a775 $n776 $n
009A	$a	535 $3775 $n776 $n
033Q	$T	880 $6
033Q	$U	880 $6
033Q	$a	533 $e
036L/00	$T	880 $6
036L/00	$U	880 $6
036L/00	$a	533 $f
036L/00	$h	533 $f
036L/00	$l	533 $f
036L/00	$p	533 $f
036L/00	$h	533 $f
036L/00	$m	533 $f
036M/00	$T	880 $6
046X	$3	583 $3
036M/00	$U	880 $6
036M/00	$9	776 $w(DE-627)
036M/00	$7	776 $w(DE-600)
046X	$f	583 $f
046X	$h	583 $h
046X	$k	583 $k
046X	$l	583 $l
046X	$5	583 $5
037G	$T	880 $6
037G	$U	880 $6
037G	$a	530 $a533 $n
039S	$T	880 $6
039S	$U	880 $6
039S	$i	787 $i
039S	$7	787 $w(DE-600)
039S	$9	787 $w(DE-627)
039S	$a	787 $a
039S	$l	787 $a
039S	$t	787 $t
039S	$d	787 $d
039S	$e	787 $d
039S	$f	787 $d
039S	$C	787 $w(Sigel)
039S	$6	787 $o $w $x $z
039M	$T	880 $6
039M	$U	880 $6
039M	$i	775 $i
039M	$n	775 $n
039M	$7	775 $w(DE-600)
039M	$9	775 $w(DE-627)
039M	$a	775 $a
039M	$l	775 $a
039M	$t	775 $t
039M	$g	775 $b
039M	$d	775 $d
039M	$e	775 $d
039M	$f	775 $d
039M	$p	775 $g
039M	$h	775 $h
039M	$C	775 $w(Sigel)
039M	$6	775 $o $w $x $z
039N	$T	880 $6
039N	$U	880 $6
039N	$i	787 $i
039N	$n	787 $n
